27898	59	2
27921	315	Q5HYT8
27921	315	Q5HYT7
27921	315	Q5STA1
27921	315	Q5STA2
27921	315	Q5STA0
27921	315	Q5STU9
27932	59	4
27932	315	Q5HYT7
27932	315	Q5HYT8
27932	315	Q5STA1
27932	315	Q5STA2
27932	315	Q5STA0
27937	315	Q5SP31
27940	315	Q5SP31
27942	315	Q5SP42
27944	315	Q5SP42
27948	315	Q5SP42
27950	315	Q5SP42
27952	315	Q8N925
27977	315	Q5ST86
27977	315	Q5ST87
27979	315	Q5ST87
27979	315	Q5ST86
28010	59	37
28010	59	36
28010	59	29
28010	59	28
28010	59	27
28010	59	23
28010	59	22
28010	59	21
28010	59	20
28010	59	19
28010	59	18
28010	59	4
28010	315	Q4V332
28011	59	21
28011	59	20
28011	59	19
28011	315	Q4V332
28013	59	21
28013	59	20
28013	59	19
28013	315	Q4V332
28018	59	20
28018	59	19
28018	59	18
28018	315	Q4V332
28021	315	Q5SQ38
28021	315	Q5STX2
28021	315	Q5STC0
28021	315	Q5SRP7
28022	315	Q5SQ38
28022	315	Q5STX2
28022	315	Q5STC0
28022	315	Q5SRP7
28029	59	2
28029	59	1
28031	59	3
28031	59	2
28031	315	Q5SQ58
28031	315	Q5SQ57
28031	315	Q5SRQ8
28032	315	Q4VX46
28033	59	4
28033	59	3
28033	315	Q5SQ58
28033	315	Q5SQ57
28033	315	Q5SRQ8
28036	315	Q5SSR7
28036	315	Q5SRQ5
28037	315	Q5SSR7
28037	315	Q5SRQ5
28039	315	Q4VX48
28039	315	Q5SSR7
28039	315	Q5SRQ5
28042	59	5
28042	315	Q5SRQ2
28063	315	Q4VX51
28063	315	Q4VX49
28067	315	Q4VX51
28067	315	Q4VX49
28089	315	Q5SRR9
28090	315	Q5SRR9
28091	315	Q5SRT5
28091	315	Q5SRT6
28093	315	Q5SRT6
28093	315	Q5SRT5
28099	59	7
28103	59	6
28103	315	Q5SSR4
28103	315	Q5SSR6
28105	315	Q5SSQ7
28109	315	Q5SSQ7
28113	315	Q5SSR4
28121	59	13
28121	59	12
28123	59	13
28123	59	12
28125	59	12
28125	59	9
28125	59	8
28144	315	Q5JQ87
28150	315	Q5SP14
28152	59	1
28154	59	1
28154	315	Q5SP14
28155	59	2
28155	315	Q5SP14
28177	315	Q53GB8
28177	315	Q5JQH9
28181	315	Q53GB8
28181	315	Q5JQH9
28190	315	Q53GB8
28190	315	Q5JQH9
28195	315	Q5JQ99
28196	315	Q5JQ99
28198	315	Q4VX08
28198	315	Q5ST54
28205	315	Q5ST58
28205	315	Q4VX08
28205	315	Q5ST54
28205	315	Q5ST56
28205	315	Q5ST53
28205	315	Q5JQK8
28209	315	Q5ST58
28209	315	Q4VX08
28209	315	Q5ST54
28209	315	Q5ST56
28209	315	Q5ST53
28212	315	Q5ST56
28212	315	Q4VX08
28212	315	Q5ST54
28212	315	Q5ST58
28212	315	Q5ST53
28212	315	Q5JQK8
28225	59	13
28225	59	12
28273	59	17
28273	59	13
28273	315	Q5ST65
28273	315	Q5ST64
28273	315	Q5ST63
28273	315	Q5ST62
28285	315	Q5JQL9
28296	315	Q5ST71
28297	59	1
28297	315	Q5ST71
28298	315	Q5ST71
28300	315	Q5JNW8
28300	315	Q5ST42
28303	315	Q5JNW8
28303	315	Q5ST42
58077	62	1:63
59178	62	1:102
59178	15	81-102
59490	62	1:102
59493	62	1:67
59510	62	1:107
59994	62	1:78
60795	62	1:132
62844	62	1:76
